Nội dung,Ngày đánh giá
"Sản phẩm tệ, mua phí tiền.",1/06/2026
"Giao sai màu, shop làm ăn chán quá.",2/06/2026
"Chất liệu quá nóng, không như quảng cáo.",3/06/2026
Mới dùng 1 ngày đã hỏng.,4/06/2026
Thái độ nhân viên chăm sóc khách hàng cực kỳ tồi.,5/06/2026
"Đóng gói rách bươm, móp méo hết.",6/06/2026
Hàng fake mọi người ơi né gấp.,7/06/2026
Giao hàng tận 2 tuần mới tới.,8/06/2026
"Mùi nhựa nồng nặc, độc hại.",9/06/2026
Chưa bao giờ mua ở đâu thất vọng như vậy.,10/06/2026
"Áo rách nách, shop kiểm hàng kiểu gì vậy?",11/06/2026
Không đáng 1 xu.,12/06/2026
Xin hoàn hàng mà shop im ru.,13/06/2026
Đánh giá 1 sao cho dịch vụ.,14/06/2026
"Màu sắc nhợt nhạt, lem luốc.",15/06/2026
"Giao thiếu linh kiện, giờ sao lắp?",16/06/2026
Treo đầu dê bán thịt chó.,17/06/2026
Kích thước quá bé so với mô tả.,18/06/2026
Mua tặng mà nhìn như hàng chợ.,19/06/2026
Tẩy chay shop này làm ăn gian dối.,20/06/2026
